Ship Number,Ref,Carrier,Ship Method,Tracking Number,Shipped Date,Names,Company,Address 1,City,State,Zip,Country,Base Rate,Total Charge,Qty,Pallet Qty,Weight,Dimensions,Customer,Client Customer,Tracking Status
1262915,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,1601,71699,2802 North Fitzhugh Avenue,Dallas,TX,75204,US,33.25,7.92,1,0,0.87,11X10X1,,",",Arrived at FedEx location
1260888,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,2171,72199,1601 West Redlands Boulevard,Redlands,CA,92373,US,49.97,10.39,1,0,1.45,11X10X1,,",",Departed FedEx location
1262942,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,1601,71699,1041 North Town East Boulevard,Mesquite,TX,75150,US,33.25,7.92,1,0,0.79,11X10X1,,",",Arrived at FedEx location
1262956,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,1601,71699,826 E HWY 67,Duncanville,TX,75137,US,33.25,7.92,1,0,0.83,11X10X1,,",",Arrived at FedEx location
1264028,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,2581,72599,8017 BRADDOCK RD,Springfield,VA,22151,US,61.57,12.8,1,0,6.85,13X10X6,,",",Departed FedEx location
1260892,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,2516,71399,6994 George Washington Memorial Highway,Gloucester Courthouse,VA,23061,US,40.41,9.61,1,0,1.25,11X10X1,,",",Arrived at FedEx location
1260529,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,Store Manager,,3360 ANNAPOLIS RD,Halethorpe,MD,21227,US,67.17,13.98,1,0,7.9,13X10X6,,",",Arrived at FedEx location
1260536,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,Store Manager,,508 E St,Marysville,CA,95901,US,104.37,22.52,1,0,7.65,13X10X6,,",",Departed FedEx location
1262943,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,1601,71699,10998 Harry Hines Blvd,Dallas,TX,75220,US,36.13,7.92,1,0,1.44,11X10X1,,",",Arrived at FedEx location
1262988,711AR414,FedEx 2Day,EFEX2,3.97344E+11,2023-04-24T00:00:00,1611,72399,2120 E Abram St,Arlington,TX,76010,US,33.25,7.92,1,0,0.6,11X10X1,,",",Arrived at FedEx location
